tenant_id,segment,tenure_months,total_billed,avg_rent,unpaid_ratio,invoices,ltv_paid
2d732934-6a6e-e41c-d60c-fd6fe935e3df,0,9,136047.0,12887.0,0.2222222222222222,9,101964.0
2f0cc08d-c4e2-1593-8f2c-1445f89e7f1d,0,4,49771.0,10879.5,0.0,4,49771.0
3013b032-8425-868c-694c-5709a3a46982,0,3,43304.0,12727.666666666666,0.0,3,43304.0
31748409-1d90-3bc0-903e-6d831133e944,0,8,119692.0,13118.875,0.0,8,119692.0
31efad6c-2fd0-0f5c-58b7-21f64ea45f51,1,19,282592.0,13730.842105263158,0.05263157894736842,19,272116.0
31f3f7a3-5dc4-21cd-ba54-b41347a7822a,1,19,292943.0,13876.578947368422,0.15789473684210525,19,242233.0
326fad9d-9ffb-2185-aa20-128326ae8d55,0,2,27095.0,11951.0,0.0,2,27095.0
32a3a1c6-8dfe-d49b-f052-da816a4ceeb2,0,19,103776.0,11359.125,0.0,8,103776.0
33453ebc-fdb5-2ce9-740f-e9966df68c7c,0,1,2250.0,0.0,1.0,1,0.0
33660a1a-0cb4-11b6-6d4f-9067a1b78d50,0,6,79335.0,11459.666666666666,0.0,6,79335.0
33ac7dd1-ae75-0a17-9b1e-7b8175226f98,0,5,66611.0,11496.6,0.0,5,66611.0
34100f9a-d3d0-f695-2b19-ecd7a4ff292c,0,3,30487.0,8453.333333333334,0.0,3,30487.0
344a43f4-d005-00e3-d3f4-5da6b944af56,0,4,66028.0,15016.75,0.0,4,66028.0
34c36730-bd63-676a-99c5-16783ab7167e,0,4,47300.0,10290.0,0.0,4,47300.0
34e17203-69d9-f06c-079c-fc6848b90d7e,0,1,16750.0,14500.0,0.0,1,16750.0
34e687e0-29cc-e019-e1cc-610c96129aa7,0,4,53087.0,11213.25,0.0,4,53087.0
35944e8c-88c9-e8fb-698c-a53093262227,0,5,75541.0,13064.4,0.0,5,75541.0
35f948f3-e8ec-6058-cf56-5561dd2379b3,0,4,42683.0,9187.5,0.0,4,42683.0
365f8f9f-009e-838c-36c6-add1b1d696b1,0,5,74110.0,12400.0,0.2,5,65250.0
367ff001-843b-4fab-01ff-1f341b84ef5f,0,2,29278.0,13064.5,0.0,2,29278.0
36d4dedb-75eb-6f4f-03fa-79d0875789aa,1,17,242344.0,12373.764705882353,0.0,17,242344.0
3761a198-73ca-bdb8-338b-d52c21eb8f2e,0,3,57905.0,17983.333333333332,0.0,3,57905.0
38069f8b-d44e-0b86-a0d1-dafac5ae1232,1,24,375439.0,14070.541666666666,0.125,24,324729.0
381ba86a-6881-bdfb-4f5a-707c6f5e9aed,0,4,48524.0,10181.5,0.0,4,48524.0
38305983-db92-2c3c-7949-96f7ca7833eb,0,6,124070.0,19500.0,0.5,6,60742.0
389859df-460c-4966-a71d-eb7bbebae67b,0,3,37638.0,5223.333333333333,0.8333333333333334,6,2340.0
38c5737a-38f4-67e4-935b-157ed9f6fafa,0,3,39119.0,11355.0,0.0,3,39119.0
38f94703-df69-ca89-4496-a89ad5a63f7c,0,1,2250.0,0.0,1.0,1,0.0
38fa3ad2-aa3f-58d5-2b21-1710a18fefce,0,3,35363.0,10360.0,0.0,3,35363.0
398396b1-f339-683b-4307-b3441615b82a,0,4,82791.0,18871.0,0.75,4,16984.0
3ad112bc-3f0d-3be3-e12c-29bdc16823e4,0,6,70411.0,12204.0,0.2,5,54296.0
3b02f95a-b47e-1037-4f8a-f2f31e35c98e,0,11,226676.0,18585.090909090908,0.2727272727272727,11,168581.0
3b27dc97-dafa-0480-7b61-5549a3ea7eee,0,13,215298.0,14615.384615384615,0.23076923076923078,13,169040.0
3b48ac67-d1fa-b227-f284-5da0a25e5ac0,0,12,170269.0,10787.57142857143,0.14285714285714285,14,160908.0
3b6e6365-f27e-8854-7e60-4889894aaa6d,0,3,36158.0,9444.666666666666,0.3333333333333333,3,30102.0
3c32a71f-5c9e-8178-0cae-bd32a791be8a,0,1,2676.0,426.0,1.0,1,0.0
3caa59e9-5e0d-3ca4-6303-a17bdb2e20ec,0,8,115528.0,12011.375,0.0,8,115528.0
3d18aa61-88d3-4390-b5d3-db4cb2e31e11,0,2,16626.0,3594.0,0.75,4,10634.0
3e2fea93-18a8-93d6-164a-73bb3ab8c191,0,4,57637.0,12513.0,0.0,4,57637.0
3e50af3d-452f-d098-b3bc-3c2a64576d55,1,20,285151.0,12874.8,0.15,20,234420.0
3e75e66b-4372-344b-25d8-de15915110c9,0,8,119112.0,11081.222222222223,0.3333333333333333,9,82605.0
3e99437f-aaa3-5ffe-27bc-cffb9898080d,0,11,180812.0,13649.416666666666,0.0,12,180812.0
3f0612aa-b4e7-f5b1-b920-e5559a86b30b,0,1,2250.0,0.0,0.0,1,2250.0
3f1cffa7-f19d-26f8-f9fb-1d746c3e5897,0,3,42900.0,12758.333333333334,0.0,3,42900.0
3fa90f86-f0f5-7489-1807-029cb1ab0732,0,3,34685.0,9768.666666666666,0.3333333333333333,3,25949.0
40a2b6da-1224-e406-7b33-bed31c6f706b,0,10,176965.0,15989.8,0.0,10,176965.0
40d92b3b-7aee-338f-9b2d-58099584d322,0,1,2250.0,0.0,1.0,1,0.0
40da1241-f931-fd4a-747c-9dc5f68a8870,0,2,17150.0,6750.0,0.0,2,17150.0
413fa992-b668-d564-13e9-5f16a70196f2,0,1,2250.0,0.0,1.0,1,0.0
414e0bde-7a49-1083-4e22-1fa3dca1b3c6,1,12,255941.0,19166.666666666668,0.0,12,255941.0
417cb75b-9992-4df9-28ae-ad4d2313621f,1,15,231556.0,14666.666666666666,0.2,15,183240.0
41aa512e-b3d6-49bc-9caa-eec244ee63d8,0,2,29043.0,12748.5,1.0,2,0.0
41bc3dd8-29be-a47d-e821-5e112e52cde5,0,1,2250.0,0.0,1.0,1,0.0
42c9cd99-9d86-c9b7-f90f-c4a4e87261a4,0,3,42193.0,12631.0,0.0,3,42193.0
42ce346f-a341-9289-8213-2a477a99c6b7,0,1,2250.0,0.0,1.0,1,0.0
42fc943f-bd3d-2957-015f-48efdbb32e77,0,4,56769.0,12979.75,0.25,4,45050.0
430caea5-4a9a-cf87-274e-54e1547ff83b,1,24,368564.0,13476.583333333334,0.041666666666666664,24,353236.0
434d75cb-183a-9772-9088-93a7b3f89d25,0,3,45388.0,13297.333333333334,0.3333333333333333,3,29082.0
43774f3c-9ce6-fc78-7857-b8607c3e1966,0,6,82087.0,12375.0,0.5,6,35908.0
43bad5ef-9766-7805-47dd-934114b00873,0,5,79720.0,13800.0,0.0,5,79720.0
43c47b55-f3bc-96d4-c7a6-8b91bccbfcc4,0,2,17253.0,6718.5,0.0,2,17253.0
43c50db7-bbd5-a3ee-044a-5ad9f847c9bf,0,12,155585.0,11132.416666666666,0.0,12,155585.0
43e74f45-aa14-1c93-dc1b-6bca58862fe4,1,14,217101.0,13582.285714285714,0.14285714285714285,14,189164.0
43f0cf08-520b-2feb-f383-29d0259afdfd,0,1,2715.0,465.0,1.0,1,0.0
440b6ecd-f1be-8821-6916-551881aa954f,0,1,13622.0,13600.0,0.0,1,13622.0
444b3778-4bd6-62cd-0b3d-660eb12fd7c5,0,4,84219.0,19000.0,0.0,4,84219.0
44bf5771-a669-438c-a190-88aab999cfae,0,3,43744.0,12833.333333333334,0.6666666666666666,3,13000.0
44cb47a3-0123-781d-7158-6019cedce0c5,0,3,32145.0,9100.0,0.0,3,32145.0
4505ca5d-0961-03c9-5943-ffda2a5ae270,0,11,175805.0,15124.272727272728,0.2727272727272727,11,126365.0
4514d626-9864-572c-4d95-165e89926e0c,0,2,29344.0,12500.0,0.0,2,29344.0
456fc08d-55ba-6a5b-7917-edad21de87b2,0,3,38072.0,10865.0,0.0,3,38072.0
45bab573-48ef-1237-bc52-123366b60e36,0,1,16750.0,14500.0,0.0,1,16750.0
4628a4bf-d4c5-9e5d-471c-271b9f3e7d03,1,40,624149.0,14582.5,0.075,40,573950.0
46d380ca-fe7a-07d2-4570-5de890c8fdc7,1,13,208517.0,14168.0,0.0,13,208517.0
46d76191-2b0e-5d5a-4a07-cc7209f40801,0,2,35310.0,13600.0,0.0,2,35310.0
46d94fb9-b4c9-d1a8-0c92-609fafa9901e,0,1,4199.0,1360.0,0.0,1,4199.0
4725a45c-cc7a-af5b-e281-9c77ce5af921,0,8,137582.0,15250.0,0.0,8,137582.0
472a7ffe-042a-9722-efc3-4583777f6989,0,4,48464.0,10181.5,0.0,4,48464.0
